texto,categoria
"Parabéns pela conquista.",Improdutivo
"Feliz Natal!",Improdutivo
"Obrigado pela colaboração.",Improdutivo
"Bom dia.",Improdutivo
"Parabéns!",Improdutivo
"Feliz Páscoa!",Improdutivo
"Obrigado!",Improdutivo
"Espero que estejam bem.",Improdutivo
"Parabéns!",Improdutivo
"Feliz aniversário!",Improdutivo
"Obrigado!",Improdutivo
"Espero que estejam bem.",Improdutivo
"Parabéns!",Improdutivo
"Feliz Natal!",Improdutivo
"Obrigado!",Improdutivo
